C.D.S.  -  SIMBAD4 rel 1.7  -  2020.11.10CET00:07:08

Umag<=2&maintypes='Star'
------------------------

Number of objects : 44

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1 |* bet Per                          |Al*|03 08 10.1324535 +40 57 20.328013      | 1.70 | 2.07 | 2.12 | 2.08 | 2.11 |B8V            |1153|   2
2 |* alf Cyg                          |sg*|20 41 25.91514 +45 16 49.2197          | 1.11 | 1.34 | 1.25 | 1.14 | 1.04 |A2Ia           | 720|   0
3 |* gam Cas                          |Be*|00 56 42.5317 +60 43 00.265            | 1.18 | 2.29 | 2.39 | 2.32 | 2.40 |B0.5IVpe       |1142|   1
4 |* eps UMa                          |a2*|12 54 01.7495922 +55 57 35.362645      | 1.76 | 1.75 | 1.77 | 1.79 | 1.82 |A1III-IVpkB9   | 456|   0
5 |* eta UMa                          |PM*|13 47 32.43776 +49 18 47.7602          | 0.99 | 1.67 | 1.86 | 1.98 | 2.16 |B3V            | 581|   0
6 |* eps Per                          |bC*|03 57 51.2320472 +40 00 36.775143      | 1.71 | 2.71 | 2.89 | 2.96 | 3.14 |B1.5III        | 496|   0
7 |* bet Ori                          |s*b|05 14 32.27210 -08 12 05.8981          |-0.56 | 0.10 | 0.13 | 0.13 | 0.15 |B8Iae          | 731|   0
8 |* gam Ori                          |V* |05 25 07.86325 +06 20 58.9318          | 0.54 | 1.42 | 1.64 | 1.73 | 1.95 |B2V            | 501|   0
9 |* bet Tau                          |PM*|05 26 17.51312 +28 36 26.8262          | 1.03 | 1.52 | 1.65 | 1.66 | 1.76 |B7III          | 348|   1
10|* eps Ori                          |s*b|05 36 12.81335 -01 12 06.9089          | 0.48 | 1.51 | 1.69 | 1.76 | 1.93 |B0Ia           | 860|   0
11|* del Ori                          |Al*|05 32 00.40009 -00 17 56.7424          | 0.96 | 2.02 | 2.41 | 2.32 | 2.54 |B0III+O9V      | 745|   0
12|* kap Ori                          |s*b|05 47 45.3888404 -09 40 10.577707      | 0.87 | 1.88 | 2.06 | 2.09 | 2.27 |B0.5Ia         | 549|   0
13|* bet Aur                          |Al*|05 59 31.7229284 +44 56 50.757259      | 1.97 | 1.93 | 1.90 | 1.82 | 1.83 |A1IV-Vp        | 403|   0
14|* bet CMa                          |bC*|06 22 41.9853527 -17 57 21.307352      | 0.77 | 1.73 | 1.97 | 2.11 | 2.35 |B1II-III       | 687|   0
15|* eps CMa                          |*  |06 58 37.54876 -28 58 19.5102          | 0.36 | 1.29 | 1.50 | 1.59 | 1.80 |B1.5II         | 464|   1
16|* eta CMa                          |s*b|07 24 05.70228 -29 18 11.1798          | 1.65 | 2.37 | 2.45 | 2.38 | 2.44 |B5Ia           | 354|   0
17|* zet Pup                          |BY*|08 03 35.04754 -40 00 11.3321          | 0.89 | 1.98 | 2.25 | 2.36 | 2.58 |O4I(n)fp       |1097|   1
18|* gam Peg                          |bC*|00 13 14.1512308 +15 11 00.936759      | 1.75 | 2.61 | 2.84 | 2.94 | 3.13 |B2IV           | 662|   0
19|* alf And                          |a2*|00 08 23.25988 +29 05 25.5520          | 1.48 | 1.95 | 2.06 | 2.09 | 2.19 |B8IV-VHgMn     | 446|   0
20|Bol D182                           |*  |00 39 31.4857515352 +41 27 35.116326582| 0.000|18.140|17.250|16.900|     ~|~              |   7|   0
21|* alf Leo                          |PM*|10 08 22.31099 +11 58 01.9516          | 0.88 | 1.24 | 1.40 | 1.37 | 1.47 |B8IVn          | 811|   0
22|* alf Vir                          |bC*|13 25 11.57937 -11 09 40.7501          |-0.20 | 0.74 | 0.97 | 1.06 | 1.30 |B1V            | 825|   2
23|* mu.01 Sco                        |bL*|16 51 52.2156925062 -38 02 50.635416093| 1.98 | 2.82 | 2.98 |     ~|     ~|B1V+B          | 270|   0
24|* ups Sco                          |*  |17 30 45.8371228 -37 17 44.928511      | 1.64 | 2.47 | 2.70 |     ~|     ~|B2IV           | 174|   0
25|* lam Sco                          |bC*|17 33 36.52012 -37 06 13.7648          | 0.52 | 1.48 | 1.62 |     ~|     ~|B2IV+DA7.9     | 374|   1
26|* kap Sco                          |bC*|17 42 29.27520 -39 01 47.9391          | 1.32 | 2.211| 2.386|     ~|     ~|B1.5III        | 228|   0
27|* pi. Sco                          |bL*|15 58 51.1132378 -26 06 50.788602      | 1.82 | 2.71 | 2.91 | 3.00 | 3.20 |B1V+B2:V:      | 377|   0
28|* tau Sco                          |*  |16 35 52.9528530 -28 12 57.661515      | 1.55 | 2.56 | 2.81 | 2.93 | 3.18 |B0.2V          | 861|   0
29|* zet Oph                          |Be*|16 37 09.5390545 -10 34 01.529471      | 1.73 | 2.58 | 2.56 | 2.46 | 2.50 |O9.2IVnn       |1738|   2
30|* alf Aql                          |dS*|19 50 46.99855 +08 52 05.9563          | 1.07 | 0.98 | 0.76 | 0.62 | 0.49 |A7Vn           | 824|   0
31|* alf Lyr                          |dS*|18 36 56.33635 +38 47 01.2802          | 0.03 | 0.03 | 0.03 | 0.07 | 0.10 |A0Va           |2523|   0
32|* gam02 Vel                        |WR*|08 09 31.95013 -47 20 11.7108          | 0.64 | 1.58 | 1.83 | 1.85 | 2.00 |WC8+O7.5III-V  | 848|   0
33|* alf Car                          |*  |06 23 57.10988 -52 41 44.3810          |-0.49 |-0.59 |-0.74 |-0.96 |-1.13 |A9II           | 419|   0
34|* bet Car                          |PM*|09 13 11.97746 -69 43 01.9473          | 1.72 | 1.69 | 1.69 | 1.63 | 1.61 |A1III-         | 212|   0
35|* del Cen                          |Be*|12 08 21.4976373 -50 43 20.738614      | 1.51 | 2.39 | 2.52 | 2.48 | 2.62 |B2Vne          | 293|   0
36|* del Cru                          |Pu*|12 15 08.7167245 -58 44 56.136936      | 1.63 | 2.568| 2.752|     ~|     ~|B2IV           | 194|   1
37|* bet Cru                          |bC*|12 47 43.26877 -59 41 19.5792          | 0.03 | 1.02 | 1.25 | 1.38 | 1.64 |B1IV           | 324|   0
38|* eps Cen                          |bC*|13 39 53.25774 -53 27 59.0081          | 1.16 | 2.08 | 2.30 | 2.45 | 2.70 |B1III          | 239|   0
39|* alf Gru                          |PM*|22 08 13.98473 -46 57 39.5078          | 1.11 | 1.58 | 1.71 | 1.75 | 1.83 |B6V            | 289|   0
40|* alf Lup                          |bC*|14 41 55.7557866 -47 23 17.515486      | 1.22 | 2.126| 2.286|     ~|     ~|B1.5III        | 225|   0
41|* eta Cen                          |Be*|14 35 30.4241610 -42 09 28.170782      | 1.30 | 2.12 | 2.31 | 2.41 | 2.59 |B2Ve           | 323|   0
42|* bet Lup                          |PM*|14 58 31.92536 -43 08 02.2699          | 1.59 | 2.46 | 2.68 | 2.78 | 2.95 |B2III          | 177|   0
43|* gam Lup                          |El*|15 35 08.44835 -41 10 00.3247          | 1.76 | 2.586| 2.765|     ~|     ~|B2IV           | 165|   0
44|* alf Eri                          |Be*|01 37 42.84548 -57 14 12.3101          |-0.36 | 0.30 | 0.46 | 0.49 | 0.60 |B6Vpe          | 446|   0
================================================================================
